id,Machine failure
136429,1
136430,0
136431,1
136432,1
136433,1
136434,1
136435,1
136436,1
136437,0
136438,0
136439,1
136440,1
136441,0
136442,1
136443,1
136444,1
136445,0
136446,1
136447,0
136448,0
136449,1
136450,1
136451,1
136452,1
136453,1
136454,1
136455,0
136456,1
136457,1
136458,1
136459,0
136460,1
136461,0
136462,1
136463,0
136464,1
136465,1
136466,0
136467,0
136468,0
136469,1
136470,0
136471,1
136472,1
136473,1
136474,1
136475,1
136476,1
136477,0
136478,0
136479,1
136480,1
136481,1
136482,1
136483,1
136484,0
136485,0
136486,0
136487,0
136488,1
136489,0
136490,1
136491,1
136492,1
136493,1
136494,0
136495,1
136496,1
136497,0
136498,1
136499,0
136500,0
136501,0
136502,1
136503,1
136504,1
136505,0
136506,1
136507,0
136508,1
136509,1
136510,0
136511,1
136512,1
136513,0
136514,1
136515,1
136516,1
136517,1
136518,1
136519,1
136520,1
136521,0
136522,1
136523,0
136524,1
136525,1
136526,1
136527,1
136528,1
136529,1
136530,1
136531,1
136532,0
136533,1
136534,1
136535,1
136536,0
136537,0
136538,1
136539,1
136540,0
136541,0
136542,0
136543,1
136544,1
136545,1
136546,0
136547,0
136548,0
136549,0
136550,1
136551,1
136552,1
136553,1
136554,1
136555,1
136556,1
136557,1
136558,1
136559,1
136560,1
136561,1
136562,1
136563,1
136564,0
136565,1
136566,0
136567,1
136568,0
136569,0
136570,0
136571,1
136572,1
136573,0
136574,1
136575,0
136576,1
136577,1
136578,1
136579,1
136580,0
136581,1
136582,0
136583,0
136584,1
136585,1
136586,1
136587,0
136588,1
136589,1
136590,0
136591,1
136592,1
136593,1
136594,0
136595,1
136596,0
136597,0
136598,1
136599,1
136600,1
136601,1
136602,1
136603,1
136604,1
136605,1
136606,0
136607,1
136608,1
136609,1
136610,1
136611,1
136612,1
136613,1
136614,0
136615,0
136616,1
136617,1
136618,1
136619,0
136620,1
136621,0
136622,0
136623,1
136624,1
136625,1
136626,1
136627,0
136628,1
136629,0
136630,0
136631,1
136632,1
136633,0
136634,0
136635,1
136636,1
136637,1
136638,1
136639,1
136640,1
136641,0
136642,0
136643,1
136644,0
136645,1
136646,1
136647,1
136648,1
136649,0
136650,1
136651,0
136652,1
136653,0
136654,1
136655,1
136656,1
136657,1
136658,1
136659,1
136660,1
136661,0
136662,1
136663,1
136664,1
136665,0
136666,0
136667,1
136668,1
136669,1
136670,1
136671,1
136672,1
136673,1
136674,0
136675,1
136676,0
136677,1
136678,1
136679,0
136680,1
136681,1
136682,1
136683,0
136684,0
136685,1
136686,1
136687,1
136688,1
136689,1
136690,1
136691,1
136692,0
136693,1
136694,0
136695,0
136696,1
136697,1
136698,1
136699,1
136700,1
136701,1
136702,0
136703,1
136704,1
136705,0
136706,1
136707,1
136708,1
136709,0
136710,0
136711,1
136712,0
136713,0
136714,1
136715,1
136716,0
136717,1
136718,1
136719,1
136720,0
136721,1
136722,0
136723,1
136724,0
136725,0
136726,1
136727,1
136728,0
136729,1
136730,0
136731,1
136732,0
136733,0
136734,0
136735,0
136736,0
136737,0
136738,1
136739,1
136740,1
136741,1
136742,1
136743,1
136744,1
136745,1
136746,1
136747,1
136748,0
136749,0
136750,1
136751,1
136752,0
136753,1
136754,0
136755,1
136756,0
136757,1
